k,steps,jahr,module,Q,top1,top2,rosenbluth
50,6,2021,24,0.7025940648163562,0.2119067443796836,0.339300582847627,0.0986069678973152
50,6,2022,27,0.7010494929938925,0.1958090480155426,0.3021787399389398,0.08397818385232146
50,6,2023,26,0.7022873838868112,0.2033721898417985,0.32452123230641133,0.08936011904761905
50,6,2024,26,0.6935593661032271,0.22911462669997223,0.33680266444629475,0.09020241090540389
50,7,2016,22,0.5856066440560974,0.3800999167360533,0.5152650568970303,0.12990337467551197
50,7,2017,29,0.6325828839829503,0.17804607271718012,0.315917291146267,0.07700610192675551
50,7,2018,29,0.6664216934600665,0.1348182070496808,0.25152650568970303,0.07011296301701743
50,7,2019,23,0.687913052102992,0.25284485151262837,0.3644879267277269,0.10599241020210043
50,7,2020,26,0.706075736643269,0.2077435470441299,0.3388842631140716,0.0916129524390709
50,7,2021,24,0.710693806794042,0.1879683597002498,0.30585623091867886,0.09427864927452802
50,7,2022,27,0.7002336464680023,0.2302248126561199,0.3297946155981127,0.08428858840593272
50,7,2023,24,0.7083608471572814,0.19886205939494866,0.32098251457119065,0.09484574076024008
50,7,2024,26,0.7062070729292811,0.17908687205106855,0.29870940882597835,0.0844347581552306
50,8,2016,27,0.5985983162962364,0.2426450180405218,0.413127948931446,0.09570229494262644
50,8,2017,23,0.6214556781792587,0.305578684429642,0.4337357757424369,0.11261662525200432
50,8,2018,19,0.6559101083342462,0.27872606161532054,0.4733555370524563,0.1342449420619248
50,8,2019,26,0.6820557306294414,0.27893422148209823,0.3892589508742714,0.09569212790821204
50,8,2020,25,0.7083550395265092,0.16971967804607271,0.3029419927837913,0.086356282581341
50,8,2021,24,0.7037495628806392,0.19740494032750486,0.3166805439911185,0.09784911194394655
50,8,2022,27,0.7056787959155525,0.22703302803219538,0.32389675270607826,0.08692715056033391
50,8,2023,26,0.7127881526077119,0.13884263114071607,0.2575631418262559,0.08205607050946274
50,8,2024,25,0.6948793540685958,0.22953094643352762,0.34776575076325283,0.09423426486550106
